file_name,time_of_event,time_of_alert,light_conditions,weather,scene,time_to_accident
00822.mp4,19.5,18.633,Normal,Cloudy,Urban,
00208.mp4,19.8,19.233,Normal,Cloudy,Sub-urban,
00072.mp4,20.101,20.068,Normal,Clear,Urban,
00128.mp4,19.267,18.333,Normal,Clear,Urban,
00205.mp4,21.146,18.196,Normal,Clear,Highway,
00408.mp4,19.953,17.551,Normal,Clear,Urban,
00948.mp4,20.287,19.219,Normal,Clear,Sub-urban,
00457.mp4,19.6,19.367,Normal,Cloudy,Sub-urban,
00471.mp4,19.833,18.267,Normal,Clear,Highway,
00900.mp4,21.177,17.942,Bright,Clear,Sub-urban,
00841.mp4,19.0,16.167,Normal,Clear,Highway,
00333.mp4,19.667,17.0,Normal,Cloudy,Urban,
00564.mp4,20.24,17.417,Normal,Clear,Sub-urban,
00245.mp4,20.133,19.067,Normal,Cloudy,Urban,
00171.mp4,10.067,6.833,Normal,Cloudy,Highway,
00795.mp4,20.706,16.493,Normal,Clear,Urban,
00372.mp4,19.967,17.867,Normal,Cloudy,Sub-urban,
00938.mp4,10.426,10.226,Normal,Clear,Other,
00884.mp4,21.864,20.197,Normal,Clear,Sub-urban,
00641.mp4,9.832,6.733,Normal,Cloudy,Highway,
00010.mp4,20.9,18.533,Normal,Cloudy,Urban,
00927.mp4,20.033,16.4,Dark,Clear,Urban,
00378.mp4,18.3,15.733,Normal,Clear,Urban,
00238.mp4,20.35,17.5,Normal,Clear,Urban,
00313.mp4,19.709,18.794,Normal,Cloudy,Urban,
00876.mp4,20.192,18.722,Normal,Cloudy,Urban,
00098.mp4,19.11,16.823,Normal,Clear,Urban,
00516.mp4,20.6,19.633,Normal,Clear,Urban,
00357.mp4,19.493,17.73,Normal,Clear,Urban,
00903.mp4,20.087,17.184,Normal,Rain,Urban,
00880.mp4,19.4,18.5,Normal,Cloudy,Highway,
00558.mp4,20.266,17.945,Normal,Rain,Urban,
00291.mp4,17.647,15.229,Normal,Cloudy,Highway,
00977.mp4,19.667,18.833,Normal,Clear,Urban,
00100.mp4,18.467,17.233,Normal,Cloudy,Urban,
00765.mp4,19.314,18.301,Normal,Clear,Highway,
01022.mp4,18.0,16.5,Normal,Cloudy,Highway,
00042.mp4,19.465,17.766,Normal,Clear,Urban,
00286.mp4,19.601,17.347,Normal,Clear,Sub-urban,
00858.mp4,20.033,16.633,Normal,Cloudy,Sub-urban,
00629.mp4,10.431,8.398,Twilight,Clear,Sub-urban,
00145.mp4,17.4,15.233,Normal,Clear,Urban,
01033.mp4,20.181,18.451,Normal,Cloudy,Sub-urban,
00292.mp4,20.8,19.533,Normal,Clear,Urban,
00611.mp4,19.633,16.833,Normal,Rain,Sub-urban,
01016.mp4,19.794,18.781,Normal,Clear,Urban,
00336.mp4,3.921,3.072,Normal,Clear,Highway,
00168.mp4,19.133,17.833,Normal,Cloudy,Urban,
00600.mp4,19.4,15.933,Normal,Cloudy,Highway,
00473.mp4,21.067,18.6,Normal,Rain,Highway,
00515.mp4,19.9,17.867,Normal,Clear,Urban,
00058.mp4,19.149,18.071,Normal,Rain,Urban,
00348.mp4,19.57,17.933,Normal,Clear,Sub-urban,
00487.mp4,20.967,20.067,Normal,Clear,Urban,
00335.mp4,20.15,18.515,Normal,Clear,Highway,
